# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V1139	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md	Нужно 5–10 решений, которые легко внести и сильно повысить читаемость	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-24 (утро) — ФИДБЕК ВЛАДЕЛЬЦА по виду собранного документа → заход `kod_navigacija.md` (9 решений), стр	визуал	замечание	«5–10 решений, которые легко внести и сделать текст гораздо более читаемым»
V1140	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md	Привести вид «хотя бы на 80% к хорошему»	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-24 (утро) — ФИДБЕК ВЛАДЕЛЬЦА по виду собранного документа → заход `kod_navigacija.md` (9 решений), стр	визуал	замечание	(«привести хотя бы на 80% к хорошему виду»)
V1141	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Полтора часа на лекцию — это не дефицит, а избыток; расчёты «не влезает» владелец разворачивает	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (22:40) — ХЭНДОФФ. Две поправки владельца снимают «дыру №2»; арка «Программа» уже живёт парал	структура лекции	замечание	Полтора часа на лекцию — это МНОГО
V1142	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Понятие не обязательно разворачивать — можно назвать бегло и идти дальше	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (22:40) — ХЭНДОФФ. Две поправки владельца снимают «дыру №2»; арка «Программа» уже живёт парал	структура лекции	спорное	не думаю, что обязательно… можно обсуждать довольно бегло, не обязательно погружаться очень глубоко
V1143	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Что зал держит, а что уже требует пояснения — сверяться перед каждым примером	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:30) — калибровка, ЛШСМ, темп: три решения владельца, строки 99–99	текст	замечание	Hom(V,W) как векторное пространство — уже требует пояснения
V1144	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Говорим про понятие — определение обязано быть на слайде	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:30) — калибровка, ЛШСМ, темп: три решения владельца, строки 99–99	визуал	замечание	говорим про понятие → на слайде определение
V1145	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Глубокая абстрактная алгебра не нужна — нужны простые примеры и наглядность	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:30) — калибровка, ЛШСМ, темп: три решения владельца, строки 99–99	текст	замечание	глубокая абстрактная алгебра не нужна, нужны простые примеры и наглядность
V1146	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	«Как на ЛШСМ» — не одобрение: там лекторы не понимают аудиторию и читают слишком сложно	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:30) — калибровка, ЛШСМ, темп: три решения владельца, строки 101–101	иное	замечание	но много и непонятных — приезжающие лекторы не понимают аудиторию и читают слишком сложно без обратной связи
V1147	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Темп тянуть к запросу заказчика, но понятность и простота не сдаются	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:30) — калибровка, ЛШСМ, темп: три решения владельца, строки 103–103	структура лекции	замечание	При этом сохранить понятность и простоту, наглядность и элегантность
V1148	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Больше научпопа: доказательства должны быть, но максимум понятности и наглядности	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:00) — ⛔ МОЯ ОШИБКА: лестница источников была построена задом наперёд, строки 89–89	текст	замечание	не «без доказательств» (они должны быть), а максимум понятности и наглядности
V1149	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Планка изложения единая — уровень матшкольника	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:00) — ⛔ МОЯ ОШИБКА: лестница источников была построена задом наперёд, строки 89–89	текст	замечание	на уровне матшкольников
V1150	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Ядро зала — не математики, и на сильных не калибруемся	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 — ПЕРВОИСТОЧНИК: основание арки переписано, строки 70–70	иное	спорное	Ядро — программисты 35+, не математики
V1151	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Максимальный пул экспертизы — прямое требование к режиму работы	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 — старт, строки 11–11	процедура	спорное	максимальный пул экспертизы
V1152	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md	Решать, брать ли курс, владелец будет по программе и конспекту, а не по разбору лекций	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 — старт, строки 15–15	процедура	спорное	не разбор лекций, как в ТЗ шаг 1, а программа + конспект ещё не существующего курса
V1153	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Ориентир владельца по объёму — меньше пятидесяти слайдов	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 вечер — ПРИЁМКА захода `kod_uborka-konspekta.md`: ПРИНЯТ, строки 21–21	структура лекции	замечание	56 слайдов против «меньше 50»
V1154	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Тот же ориентир, названный второй раз и уже в паре: меньше 50 и около 30	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 вечер — ПРИЁМКА захода `kod_uborka-konspekta.md`: ПРИНЯТ, строки 33–33	структура лекции	замечание	56 слайдов против «меньше 50» и против «около 30 вывезем»
V1155	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Шторку на ответах владелец хотел на слайдах, а не в конспекте	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 вечер — ПРИЁМКА захода `kod_uborka-konspekta.md`: ПРИНЯТ, строки 31–31	визуал	спорное	владелец 28.07 сам сказал, что имел в виду слайды, а не конспект
V1156	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Слайды имеют разную цену: полминутный слайд не считается за один из тридцати	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 41–41	структура лекции	замечание	цена такого слайда — полминуты. Это не считается за один из 30 слайдов
V1157	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	«30» и «50» друг другу не противоречат: тридцать — это слайды со сценами	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 41–41	структура лекции	замечание	относилось к слайдам со сценами
V1158	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Живой замер владельца: материал на полтора часа рассказан за час, зал перестал спрашивать	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 41–41	структура лекции	замечание	вчера зал перестал задавать вопросы — материал на полтора часа рассказан за час
V1159	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	«Сначала пример, потом общее определение» — про раздел КОНСТРУКЦИИ, а не про порядок вкладок	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 44–44	структура лекции	замечание	когда я говорил „сначала пример, потом общее определение“, я имел в виду, что это должно быть в разделе КОНСТРУКЦИИ
V1160	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Формулировки аналитика за владельца — недопустимы: «ты так формулируешь — это жесть»	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 46–46	процедура	замечание	ты так формулируешь — это жесть; естественно, я бы не стал говорить, что он плохой
V1161	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Коммит не проходит второй раз — владелец предъявляет это как поломку инструмента	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 57–57	процедура	спорное	почему-то уже второй раз не проходит коммит
V1162	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Потолок лекции, к которому приёмка сверяет минуты	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 ночь — ПРИЁМКА захода `kod_upakovka.md` (№3): ПРИНЯТ, строки 97–97	структура лекции	спорное	186 минут против 120
V1163	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Показная часть считается по слайду целиком: десять примеров вместе стоят две минуты	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-29 ночь — ПРИЁМКА захода `kod_razrez.md` (№4): ПРИНЯТ, строки 113–113	процедура	замечание	десять примеров вместе стоят две минуты
V1164	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Четыре акта вместо пяти — чтобы не было провала в середине	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#🔴 Решение владельца по итогам разреза: ЧЕТЫРЕ АКТА, не пять, строки 125–125	структура лекции	спорное	провал в середине снимается
V1165	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Доказательства не запрещены — их надо очень-очень ранжировать	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#🔴 Решение владельца 29.07: запрет доказательств на слайде СНЯТ, строки 152–152	текст	замечание	это неправда, что мы жёстко запрещаем доказательства… доказательства мы хотим выписывать, просто должны их очень-очень ранжировать
V1166	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Лекция онлайн, доски не будет — то, что раньше уходило «к доске», теперь на слайд	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#🔴 Решение владельца 29.07: запрет доказательств на слайде СНЯТ, строки 152–152	иное	замечание	Лекция читается онлайн, доски не будет
V1167	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Сцены должны уметь не только накапливать, но и убирать текст	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#🔴 Решение владельца 29.07: вторая механика сцен — ЗАМЕНА, строки 156–156	визуал	замечание	сверху появляется первое утверждение, снизу его доказательство; потом первое остаётся, ниже появляется второе, а доказательство первого уходит
V1168	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md	Уже сверстанное выбрасывать не хочет — перевёрстывать, а не пересобирать	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#Ночная цепочка продлена: заходы №8 и №9, строки 181–181	процедура	замечание	хочется воспользоваться тем, что 55 слайдов уже сверстаются, и не хочется их выбрасывать
V1169	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Меру объёма нельзя брать с главы учебника: глава — это не лекция	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — широкая мерка снята → `MERKA-pervaya-lekcia.md`, строки 10–10	процедура	замечание	поправка Вани верна, меру нельзя брать в лоб с главы
V1170	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Доказательств не должно быть много — они не несущее	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	текст	замечание	Я не думаю, что 5–7 доказательств осмысленно… не уверен, что должно быть много доказательств
V1171	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Тот же порог с другой стороны: 5–7 нормально, меньше — мало	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	текст	замечание	5–7 звучит нормально, меньше — мало
V1172	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Жанр первой лекции — полурасслабленный научпоп, где передаём суть	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	текст	замечание	полурасслабленный научпоп, где передаём суть
V1173	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Главный запрос — примеры, и их должно быть штук тридцать	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	структура лекции	замечание	суммарно коротких примеров штук 30
V1174	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Образ, которым владелец описывает нужный результат — «зоопарк теории категорий»	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	структура лекции	замечание	зоопарк теории категорий
V1175	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Критерий отбора примеров: интуитивные или быстро вводимые, которые запомнятся	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	текст	замечание	Красивые объекты — интуитивные или быстро вводимые, которые запомнятся
V1176	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Возможный рефрейм: не введение в теоркат, а обзор вокруг неё	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	структура лекции	спорное	категории пронизывают всю математику, это язык, правильно выстраивающий связи
V1177	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Философия твёрдая: Арнольд/Пуанкаре, не Бурбаки — не определение первым	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	структура лекции	замечание	Не определение группы первым — а посмотрим на квадрат и его симметрии
V1178	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Понятие обязано возникать из понятных объектов, а не объявляться	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	структура лекции	замечание	Категория должна ВОЗНИКАТЬ из понятных объектов
V1179	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Стиль Маклейна — язык и конструкции первыми — владельца отталкивает	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	текст	замечание	Стиль Маклейна (язык/конструкции первыми, «что можно сделать с понятием») отталкивает
V1180	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Портрет зала: сильный мат-класс, одиннадцатый класс, с нуля но математически сильные	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	иное	замечание	сильный мат-класс, 11 кл.
V1181	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Нужен не учебник, а лекционное введение «от объектов» и «зачем»	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	процедура	замечание	не учебник, а классное ЛЕКЦИОННОЕ введение «от объектов» и «зачем»
V1182	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Про предложенный источник: не понял, что и где читать	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	процедура	спорное	не понял, что и где читать
V1183	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Названная владельцем напряжённость: перечень категорий без «зачем» не работает	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	структура лекции	замечание	большой перечень категорий без «зачем» → непонятно, зачем они
V1184	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	За лекцию можно давать много и чуть поверхностно — как мотивацию	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — рамка L1 сместилась: яркая панорама-мотивация с функторами + «карта знаний» [durable], строки 34–3	структура лекции	замечание	много и чуть поверхностно, как мотивацию к дальнейшему
V1185	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Планка качества примеров, его словами: яркие, остроумные, крутые	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — рамка L1 сместилась: яркая панорама-мотивация с функторами + «карта знаний» [durable], строки 34–3	текст	замечание	яркие, остроумные, крутые
V1186	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Мета-цель шире курса: ресёрч всерьёз и растущая картотека	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — рамка L1 сместилась: яркая панорама-мотивация с функторами + «карта знаний» [durable], строки 38–3	процедура	замечание	ресёрч всерьёз, читать разные курсы, растить картотеку проекта
V1187	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Главное недовольство редиректа: не видит КОНТЕНТА, лекция кончится за 40 минут	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 48–48	структура лекции	замечание	терминальный объект скучноват, лекция кончится за 40 мин
V1188	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Про карточки аналитика: «единичные утверждения»	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 48–48	процедура	спорное	единичные утверждения
V1189	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Цель переформулирована: введение «в правильном порядке», ярко нагружающее контентом	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 49–49	структура лекции	замечание	«в правильном порядке», ярко нагружающее контентом
V1190	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Формат лекции — полтора-два часа	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 49–49	структура лекции	замечание	Формат лекции — 1.5–2 часа
V1191	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Введение может занять две-три лекции — «это как раз мои три лекции»	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 49–49	структура лекции	замечание	это как раз мои три лекции
V1192	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Порядок изложения: сначала нагружать примерами, конструкции — потом	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 50–50	структура лекции	замечание	сначала НАГРУЖАТЬ ПРИМЕРАМИ, потом постепенно вводить конструкции, показывая, как они раз за разом украшают примеры лучше
V1193	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Нужна связность: микроэкскурс по разделам математики в единую картину	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 51–51	структура лекции	замечание	ему нужна именно связность
V1194	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Доказательств почти нет — единичные	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 52–52	текст	замечание	Доказательств почти нет
V1195	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Без тонн текста и без жести, темп высокий	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 52–52	текст	замечание	без «тонн текста»/жести; темп высокий
V1196	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Главный критерий приёмки лекции — тест одной лекции: «офигел, как круто»	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 54–54	процедура	замечание	услышал ТОЛЬКО эту лекцию (пришёл по анонсу в телеге) → «офигел, как круто». Всё закончено. НЕ «расскажу про начальный объект, потому что потом сыграет». Каждый кусок — сразу офигенно.
V1197	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Прямой заказ процедуре: заход на поиск примеров в контексте того, как устроены крутые введения	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 55–55	процедура	замечание	хороший заход на поиск ПРИМЕРОВ — в контексте того, как устроены крутые ВВЕДЕНИЯ в область
V1198	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Прочитал Перроне: содержание и примеры — да, структура — нет	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 86–86	структура лекции	замечание	Содержание/примеры — да, СТРУКТУРА — нет
V1199	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Структура, которой не хватало всем скелетам: вопрос → путь → концепт выпадает → ответ	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 87–87	структура лекции	замечание	СТРУКТУРА = линия «исследовательский ВОПРОС → путь к нему → концепт ВЫПАДАЕТ сам → ОТВЕТ»
V1200	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Определения никогда не первыми — сначала подводим, понятие возникает, потом определяем	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 87–87	структура лекции	замечание	Определения НИКОГДА не первыми: сначала подводим, понятие возникает естественно, потом определяем
V1201	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Лекция открывается вопросом и закрывается ответом	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 87–87	структура лекции	замечание	В начале — вопрос, которым заинтересовались; в конце — ответ
V1202	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Калибровка зала ослаблена: студенты, незнакомое погуглят, не отвалятся	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 88–88	иное	замечание	зал — студенты, незнакомое погуглят, в L1 не отвалятся
V1203	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Нравится приём «концепт через примеры»	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 89–89	структура лекции	замечание	концепт через примеры
V1204	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	В восторге от НЕ-примеров и требует их у нас	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 89–89	текст	замечание	ПЕРЕСКАЗ владелец в восторге от НЕ-примеров у Перроне (выпуклые функции не категория, Aut не функтор, V не изоморфно V* естественно) — приём помечен как переносимый к нам
V1205	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Нравится сквозная нить на одном герое	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — реакция на Перроне: найден СТРУКТУРНЫЙ принцип [durable, ключевое], строки 89–89	структура лекции	замечание	сквозная нить на одном герое
V1206	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Не выбирать спину сейчас — исследовать всё и сделать список карточек	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — сплошной каталог Перроне (владелец: не выбирать спину, а СОБРАТЬ), строки 95–95	процедура	замечание	не понимаю формулировок; надо исследовать всё и сделать список карточек; из Перроне достать ВСЕ примеры обязательно, их очень много
V1207	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md	Заказ на консолидацию: подчистить всю информацию	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-20 — КОНСОЛИДАЦИЯ арки + мастер-каталог, строки 107–107	процедура	замечание	консолидируй и подчисти всю информацию
V1208	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Идею финала зал должен назвать сам, и к ней должны вести наводящие вопросы	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 23–26	процедура	замечание	критерий владельца — «зал сам назовёт идею, и есть наводящие вопросы, которые к ней
V1209	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Приём, до которого владелец сам никогда бы не додумался, в лекцию не идёт	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 24–26	структура лекции	спорное	«мне в голову не пришло никогда»
V1210	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Мотивация в лекции всегда одна — найти правильный разрез; три мотивации к одному факту значат, что нет ни одной	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 49–54	процедура	замечание	**Р-Д. Правило номер ноль: мотивация всегда одна — найти правильный разрез.**
V1211	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	То же правило, повторно занесённое в список правил подачи (кратность)	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строка 104	процедура	замечание	1. Мотивация всегда — найти правильный разрез (Р-Д).
